,no,keyword,type
1133,554,판타지,1
1134,555,드라마&영화 원작웹툰,6
1135,555,스릴러,1
1136,556,로맨스,1
1137,556,소설원작,6
1138,557,차원이동,2
1139,557,아포칼립스,2
1140,557,판타지,1
1141,557,소설원작,6
1142,558,판타지,1
1143,559,게임판타지,2
1144,559,판타지,1
1145,559,소설원작,6
1146,560,2021 지상최대공모전,6
1147,560,아포칼립스,2
1148,560,이능력배틀물,1
1149,560,판타지,1
1150,561,판타지,1
1151,562,드라마,1
1152,563,개그,1
1153,564,개그,1
1154,565,로맨스,1
1155,565,소설원작,6
1156,566,일상,1
1157,567,드라마,1
1158,568,퓨전사극,1
1159,568,로맨스,1
1160,569,힐링,3
1161,569,드라마,1
1162,569,소설원작,6
1163,570,로맨스,1
1164,571,병맛,3
1165,571,개그,1
1166,572,드라마,1
1167,573,드라마,1
1168,574,스릴러,1
1169,575,감성,3
1170,576,직업드라마,2
1171,576,드라마,1
1172,577,액션,1
1173,578,성별반전,2
1174,578,직진남,5
1175,578,삼각관계,5
1176,578,빙의,2
1177,578,로판,1
1178,578,걸크러시,5
1179,578,구원서사,5
1180,578,로맨스,1
1181,578,소설원작,6
1182,579,로맨스,1
1183,580,스릴러,1
1184,580,성인웹툰,1
1185,581,역사물,1
1186,581,무협/사극,1
1187,582,판타지,1
1188,582,소설원작,6
1189,583,성별반전,2
1190,583,궁중로맨스,2
1191,583,동양풍판타지,1
1192,583,걸크러시,5
1193,583,드라마,1
1194,584,액션,1
1195,585,액션,1
1196,586,세계관,2
1197,586,힘숨찐,2
1198,586,판무,1
1199,586,무협/사극,1
1200,586,소설원작,6
1201,587,개그,1
1202,588,판무,1
1203,588,무협/사극,1
1204,589,레트로,3
1205,589,괴담,3
1206,589,스릴러,1
1207,590,소꿉친구,5
1208,590,학원로맨스,2
1209,590,하이틴,2
1210,590,친구>연인,5
1211,590,청춘로맨스,2
1212,590,성장드라마,2
1213,590,드라마,1
1214,591,드라마,1
1215,592,최강자전,4
1216,592,2018 최강자전,4
1217,592,학원로맨스,2
1218,592,로맨스,1
1219,593,드라마,1
1220,594,아포칼립스,2
1221,594,인플루언서,2
1222,594,스릴러,1
